id,journal_text,ambience_type,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,face_emotion_hint,reflection_quality,emotional_state,intensity,clean_text,word_count,char_count,is_short,signal_conflict,was_negative_yesterday,stress_energy_gap
1,The ocean ambience helped me stop drifting and concentrate on my next steps. My to-do list feels less chaotic.,ocean,12,6.5,4,2,afternoon,mixed,calm_face,clear,focused,3,ocean ambience helped stop drifting concentrate next steps list feels less chaotic,19,110,0,0,1,-2
2,"I tried to relax during the forest ambience, yet my thoughts kept racing. I still feel a low buzz in my body.",forest,35,6.0,2,4,evening,calm,tired_face,vague,restless,3,tried relax forest ambience yet thoughts kept racing still feel low buzz body,22,109,0,0,0,2
3,The forest session slowed my thoughts and I feel more settled now.,forest,3,6.0,2,1,night,overwhelmed,happy_face,clear,calm,3,forest session slowed thoughts feel settled,12,66,0,0,1,-1
4,"the mountain ambience was pleasant, though i can't say it shifted my mood much. idk.",mountain,25,7.0,4,4,night,focused,calm_face,vague,neutral,1,mountain ambience pleasant though say shifted mood much idk,15,84,0,0,0,0
5,"The rain session gave me a pause, but the pressure is still sitting hard on me. I'm carrying too much in my head.",rain,25,5.0,3,5,afternoon,unknown,tense_face,clear,overwhelmed,5,rain session gave pause pressure still sitting hard carrying much head,23,113,0,0,0,2
6,after the forest track i feel peaceful and less pulled in every direction. my shoulders feel less tense.,forest,12,8.0,3,2,morning,mixed,calm_face,vague,calm,3,forest track feel peaceful less pulled every direction shoulders feel less tense,18,104,0,0,1,-1
7,Nothing strong came up during the rain session; I feel fairly normal. At least I paused for a moment.,rain,20,6.5,2,4,early_morning,calm,neutral_face,conflicted,neutral,1,nothing strong came rain session feel fairly normal least paused moment,19,101,0,0,0,2
8,"even with the mountain session, my mind kept jumping between tasks.",mountain,12,6.0,3,4,morning,neutral,tense_face,clear,restless,4,even mountain session mind kept jumping tasks,11,67,0,0,0,1
9,I couldn't really settle into the cafe track; I kept thinking of everything at once. I still feel a low buzz in my body.,cafe,8,5.5,3,4,early_morning,mixed,neutral_face,vague,restless,4,really settle cafe track kept thinking everything still feel low buzz body,24,120,0,0,1,1
10,The mountain ambience helped me stop drifting and concentrate on my next steps I should begin with the hardest task first,mountain,15,7.0,4,2,morning,overwhelmed,calm_face,conflicted,focused,3,mountain ambience helped stop drifting concentrate next steps begin hardest task first,21,121,0,0,1,-2
11,"The rain sounds were nice, but I still feel unsettled and fidgety. Part of me wants to do everything at once.",rain,12,6.5,3,3,afternoon,mixed,none,conflicted,restless,4,rain sounds nice still feel unsettled fidgety part wants everything,21,109,0,0,1,0
12,I feel mentally clear after the mountain session and ready to tackle one thing at a time.,mountain,12,5.5,3,2,morning,restless,neutral_face,clear,focused,4,feel mentally clear mountain session ready tackle one thing time,17,89,0,0,1,-1
13,"The forest session made me calmer, but part of me still feels uneasy. Part of me wants rest, part of me wants action.",forest,20,5.0,2,2,afternoon,neutral,none,conflicted,mixed,2,forest session made calmer part still feels uneasy part wants rest part wants action,23,117,0,0,0,0
14,"The cafe session helped a little, though I still feel pulled in too many directions. Part of me wants to do everything at once.",cafe,12,6.0,3,5,early_morning,mixed,none,clear,restless,4,cafe session helped little though still feel pulled many directions part wants everything,24,127,0,0,1,2
15,"I feel lighter after the mountain sounds, like my mind finally softened. I think I can start gently today.",mountain,8,8.0,3,3,night,overwhelmed,calm_face,clear,calm,2,feel lighter mountain sounds like mind finally softened think start gently today,19,106,0,0,1,0
16,"I came in distracted, but I left the forest session with a sharper mind. It feels easier to make a plan now.",forest,15,6.0,3,1,early_morning,neutral,neutral_face,vague,focused,2,came distracted left forest session sharper mind feels easier make plan,22,108,0,0,0,-2
17,"The forest session made me calmer, but part of me still feels uneasy. I feel better and not better at the same time. I can't tell if I need rest or momentum.",forest,35,6.0,2,3,night,unknown,calm_face,vague,mixed,3,forest session made calmer part still feels uneasy feel better not better time tell need rest momentum,32,157,0,0,0,1
18,"The mountain session gave me a pause, but the pressure is still sitting hard on me. I'm carrying too much in my head.",mountain,15,5.5,3,5,early_morning,overwhelmed,tired_face,vague,overwhelmed,4,mountain session gave pause pressure still sitting hard carrying much head,23,117,0,0,1,2
19,I feel mentally clear after the mountain session and ready to tackle one thing at a time. I should begin with the hardest task first.,mountain,8,7.5,3,2,night,focused,neutral_face,clear,focused,4,feel mentally clear mountain session ready tackle one thing time begin hardest task first,25,133,0,0,0,-1
20,"I started scattered, but the ocean session helped me lock in on what matters. My to-do list feels less chaotic. idk.",ocean,15,7.0,4,2,afternoon,calm,tense_face,clear,focused,2,started scattered ocean session helped lock matters list feels less chaotic idk,21,116,0,0,0,-2
21,"The mountain session made me calmer, but part of me still feels uneasy. Part of me wants rest, part of me wants action.",mountain,15,5.0,2,2,afternoon,calm,happy_face,clear,mixed,3,mountain session made calmer part still feels uneasy part wants rest part wants action,23,119,0,0,0,0
22,The cafe session wasn't enough today; everything still feels heavy and too much. It's hard to know where to begin.,cafe,12,6.0,2,4,afternoon,focused,tired_face,conflicted,overwhelmed,4,cafe session enough today everything still feels heavy much hard know begin,20,114,0,0,0,2
23,"even after the forest track, i feel exhausted and emotionally overloaded i feel emotionally tired i almost wanted to stop midway",forest,18,5.5,2,4,morning,focused,tense_face,vague,overwhelmed,5,even forest track feel exhausted emotionally overloaded feel emotionally tired almost wanted stop midway,21,128,0,0,0,2
24,"I liked the ocean session, but my mood is still split between calm and tension. It's like two moods are sitting together. I can't tell if I need rest or momentum. idk.",ocean,20,7.0,4,4,afternoon,focused,tense_face,clear,mixed,4,liked ocean session mood still split calm tension like two moods sitting together tell need rest momentum idk,32,167,0,0,0,0
25,"Even after the mountain track, I feel exhausted and emotionally overloaded. I feel emotionally tired.",mountain,12,3.5,2,5,night,mixed,tense_face,vague,overwhelmed,4,even mountain track feel exhausted emotionally overloaded feel emotionally tired,15,101,0,0,1,3
26,"The forest session was okay I don't feel much different, just a bit more aware Maybe I need more time to notice a difference",forest,10,7.5,3,3,night,overwhelmed,calm_face,clear,neutral,2,forest session okay feel much different bit aware maybe need time notice difference,24,124,0,0,1,0
27,"I started scattered, but the cafe session helped me lock in on what matters. My to-do list feels less chaotic.",cafe,25,7.5,4,1,night,overwhelmed,neutral_face,clear,focused,4,started scattered cafe session helped lock matters list feels less chaotic,20,110,0,0,1,-3
28,The cafe ambience helped me breathe slower and let go of some pressure.,cafe,8,6.5,4,1,early_morning,neutral,none,clear,calm,3,cafe ambience helped breathe slower let go pressure,13,71,0,0,0,-3
29,The mountain background made it easier to organize my thoughts and work plan.,mountain,25,7.5,5,2,night,restless,happy_face,clear,focused,4,mountain background made easier organize thoughts work plan,13,77,0,0,1,-3
30,"I wasn't expecting much, but the rain session made me feel quiet inside My shoulders feel less tense",rain,25,6.0,4,2,early_morning,focused,neutral_face,clear,calm,2,expecting much rain session made feel quiet inside shoulders feel less tense,18,100,0,0,0,-2
31,"I wanted the ocean to calm me, but today my stress feels bigger than the session. I almost wanted to stop midway.",ocean,18,6.0,2,5,afternoon,mixed,none,conflicted,overwhelmed,5,wanted ocean calm today stress feels bigger session almost wanted stop midway,22,113,0,0,1,3
32,"I wasn't expecting much, but the mountain session made me feel quiet inside. I think I can start gently today.",mountain,10,8.0,3,2,evening,neutral,calm_face,vague,calm,4,expecting much mountain session made feel quiet inside think start gently today,20,110,0,0,0,-1
33,I feel mentally clear after the cafe session and ready to tackle one thing at a time.,cafe,25,7.0,4,2,morning,calm,neutral_face,clear,focused,2,feel mentally clear cafe session ready tackle one thing time,17,85,0,0,0,-2
34,"The ocean session was okay. I don't feel much different, just a bit more aware. Nothing really clicked yet.",ocean,25,6.0,4,4,night,restless,neutral_face,clear,neutral,2,ocean session okay feel much different bit aware nothing really clicked yet,19,107,0,0,1,0
35,The rain ambience helped me stop drifting and concentrate on my next steps. I should use this window well.,rain,15,6.0,4,1,early_morning,mixed,calm_face,vague,focused,3,rain ambience helped stop drifting concentrate next steps use window well,19,106,0,0,1,-3
36,"The forest session was okay. I don't feel much different, just a bit more aware. Nothing really clicked yet.",forest,12,6.5,4,3,afternoon,neutral,none,clear,neutral,2,forest session okay feel much different bit aware nothing really clicked yet,19,108,0,0,0,-1
37,I feel both comforted and distracted after the cafe ambience. It's like two moods are sitting together. I can't tell if I need rest or momentum.,cafe,25,5.0,2,5,evening,focused,neutral_face,vague,mixed,4,feel comforted distracted cafe ambience like two moods sitting together tell need rest momentum,26,144,0,0,0,3
38,"I wanted the mountain to calm me, but today my stress feels bigger than the session. I feel emotionally tired.",mountain,10,5.0,1,5,early_morning,unknown,none,conflicted,overwhelmed,5,wanted mountain calm today stress feels bigger session feel emotionally tired,20,110,0,0,0,4
39,"I feel lighter after the cafe sounds, like my mind finally softened. My shoulders feel less tense.",cafe,20,7.0,4,1,evening,focused,calm_face,clear,calm,2,feel lighter cafe sounds like mind finally softened shoulders feel less tense,17,98,0,0,0,-3
40,"The rain track was fine. I feel steady, not especially better or worse.",rain,20,7.5,3,2,afternoon,overwhelmed,neutral_face,clear,neutral,1,rain track fine feel steady not especially better worse,13,71,0,0,1,-1
41,"The rain ambience was pleasant, though I can't say it shifted my mood much. Maybe I need more time to notice a difference.",rain,8,7.5,3,2,morning,overwhelmed,calm_face,conflicted,neutral,2,rain ambience pleasant though say shifted mood much maybe need time notice difference,23,122,0,0,1,-1
42,"I feel both comforted and distracted after the mountain ambience There is relief, but also some lingering pressure",mountain,15,5.5,3,3,early_morning,restless,neutral_face,conflicted,mixed,4,feel comforted distracted mountain ambience relief also lingering pressure,18,114,0,0,1,0
